word,score,district
 ,233.52868320093978,sylhet
ই,51.15021130272405,sylhet
র,43.42158699984405,sylhet
খ,31.435423680211724,sylhet
ও,26.99612294935124,sylhet
লা,24.142460498337595,sylhet
তা,24.073906735276587,sylhet
ন,22.445122686813622,sylhet
ম,22.352836623947777,sylhet
আ,22.066446580402967,sylhet
টা,19.669069718983444,sylhet
য়,18.349617096057194,sylhet
রা,18.26878413156555,sylhet
ল,17.70499071577241,sylhet
বা,17.657853063702333,sylhet
এ,17.21641792361857,sylhet
য়া,16.933856738864524,sylhet
রে,16.054163414079177,sylhet
খা,15.069154470499452,sylhet
ব,14.849771528224698,sylhet
কি,14.696298573017511,sylhet
স,14.059747103146305,sylhet
ক,13.298892939320094,sylhet
মা,13.290957669189368,sylhet
উ,13.210124853970655,sylhet
ত,13.123364690062099,sylhet
নি,13.081788195179705,sylhet
ফ,12.625489236836739,sylhet
রি,12.547250526206529,sylhet
ছি,12.287198234997355,sylhet
ছে,12.198708768291818,sylhet
অ,12.00313685378047,sylhet
লে,11.976944149289375,sylhet
নে,11.396497885700853,sylhet
জ,11.233954216694217,sylhet
দে,11.113364422248253,sylhet
গে,11.052895458458115,sylhet
তে,11.031758596067462,sylhet
শ,10.948214067821592,sylhet
না,10.7978015213903,sylhet
দি,10.79477104593828,sylhet
ফা,10.78349837204456,sylhet
সা,10.629092681109974,sylhet
তো,10.33167992021615,sylhet
ট,10.30182870682604,sylhet
লো,9.698790803838378,sylhet
ছ,9.626283132153304,sylhet
বি,9.488257289457593,sylhet
জা,9.473020299206846,sylhet
বো,9.04026866171887,sylhet
